Country,CCI_code,Programme_Short_Title,programme_version,Fund-All,Fund-Sole,NUTS_(2010)_code,NUTS_title
AT,2014AT05SFOP001,Employment Austria - ESF,1.3,ESF,ESF,AT,ÖSTERREICH
AT,2014AT16RFOP001,Investments in Growth and Employment - ERDF,2.1,ERDF,ERDF,AT,ÖSTERREICH
BE,2014BE05M9OP001,Wallonie-Bruxelles 2020.eu - ESF/YEI,2.1,ESF+YEI,ESF,BE1,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST
BE,2014BE05M9OP001,Wallonie-Bruxelles 2020.eu - ESF/YEI,2.1,ESF+YEI,ESF,BE3,RÉGION WALLONNE
BE,2014BE05M9OP001,Wallonie-Bruxelles 2020.eu - ESF/YEI,2.1,ESF+YEI,YEI,BE1,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST
BE,2014BE05M9OP001,Wallonie-Bruxelles 2020.eu - ESF/YEI,2.1,ESF+YEI,YEI,BE3,RÉGION WALLONNE
BE,2014BE05M9OP002,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,2.1,ESF+YEI,ESF,BE1,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST
BE,2014BE05M9OP002,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,2.1,ESF+YEI,YEI,BE1,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST
BE,2014BE05SFOP001,German Speaking Community of Belgium - ESF,1.3,ESF,ESF,BE336,Bezirk Verviers - Deutschsprachige Gemeinschaft
BE,2014BE05SFOP002,Flanders - ESF,4.1,ESF,ESF,BE1,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST
BE,2014BE05SFOP002,Flanders - ESF,4.1,ESF,ESF,BE2,VLAAMS GEWEST
BE,2014BE16RFOP001,Brussels Capital Region - ERDF,3.1,ERDF,ERDF,BE1,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST
BE,2014BE16RFOP002,Flanders - ERDF,2.1,ERDF,ERDF,BE2,VLAAMS GEWEST
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE341,Arr. Arlon
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE321,Arr. Ath
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE342,Arr. Bastogne
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE322,Arr. Charleroi
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE351,Arr. Dinant
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE331,Arr. Huy
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE332,Arr. Liège
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE343,Arr. Marche-en-Famenne
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE323,Arr. Mons
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE324,Arr. Mouscron
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE352,Arr. Namur
