val,Year,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08
min,2007.0,40734716.76211921,-12268423.915674724,11933589.759767052,-22678738.478446927,-16407522.666894255,-24497543.310841598,3338677.059879085,3624122.549686783
min,2008.0,79190088.80046284,4271293.073002957,69278783.33093315,27518188.06843753,9730914.60176887,49410110.84380065,51969431.685584106,51550974.08383053
min,2009.0,218536497.45597932,332291867.9426311,338162535.5254406,331840623.00958055,243575684.99427372,251500825.89203495,306159570.02108467,188508530.7311923
min,2010.0,134640385.8105699,322481005.78408253,330306035.9529167,409699262.9969535,303491895.5573752,325036602.36115503,388116989.1957907,241605827.53159142
min,2011.0,122829222.11748852,304251750.53431576,412810996.04012525,306391360.5610088,235286924.99069402,385633002.1055821,292850418.5866103,343935680.6101385
min,2012.0,85342470.31580085,323437438.5915683,365495312.5261159,87387101.80320871,226425526.4059828,331245088.153556,267448414.20193604,298193789.26276785
min,2013.0,65744117.806618966,260911630.75249118,284907317.54483926,191657350.61472848,223714560.26313853,359444030.61470824,294696832.6456777,361959148.5285073
min,2014.0,131110846.524022,377338568.2675909,364728880.6761331,147101169.58301258,298808545.7629436,493042999.27762777,406113948.76796937,407749605.4479831
min,2015.0,505425037.6328059,621871855.5938038,616343171.4883895,313394558.4872746,620505519.3150692,843265006.831398,586684565.0446446,572442787.1994345
min,2016.0,128313171.04539056,-106497002.17647319,33313717.43813005,-152837221.13188988,-175716034.83894473,-159569132.18874127,10499419.89268455,95618219.68606457
max,2007.0,58047605.086726524,3377499.895986092,18926473.44811364,5639.145557502129,7290184.078738393,913030.1004848111,7689293.571719434,8832203.30554109
max,2008.0,101306340.3290036,22744164.974930976,78457435.2261386,53751964.45707625,37874325.765533395,81546827.7749385,59195401.545021884,59867826.35136126
max,2009.0,239094956.04438257,354635212.4304218,349046416.1941247,363427847.5194241,274605521.1365621,284545487.2796141,313846913.088137,196140298.71203202
max,2010.0,162835116.642441,357323700.57194835,349595125.2745781,456064041.6983347,349565940.4623179,374426685.2589343,408028992.36175555,257621033.72869092
max,2011.0,158074508.30032617,351954785.3170356,448382184.70844483,364266250.59863055,292773071.07246244,456003940.4526931,319044064.35590893,375165883.8475285
max,2012.0,121553104.00687057,369552341.0832038,391021737.1650766,135408733.63248754,285263081.76125926,398031617.54953164,286861980.1960583,320877404.02311754
max,2013.0,107106129.59355116,302565925.04753745,300606199.83289576,248367499.50566068,285353848.14666873,426550572.11319554,307158981.38992286,377392858.49198526
max,2014.0,187390255.1613257,450362751.96277744,404260575.5381943,234072344.50457624,394168016.7197267,603706829.633493,440546494.8749918,445043698.291845
max,2015.0,600631915.2385671,727403998.7915733,673126373.2743058,444394156.6252483,765122681.2678229,1005080075.9437686,631239647.5913993,620539598.8583865
max,2016.0,275213115.81012356,34316312.128474146,91879861.83643672,55064208.931925826,37563325.87174912,69126028.51319642,47296155.69272953,142354427.46169657
