val,Year,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH0,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4
min,2007,-11277258.454751885,-502968.7928731614,-2720326.5270439326,-4546779.662427056,-5457205.022907802,-564640.6728051045,3350214.823527254,-23889932.129163668,-8788422.959248204,18043721.259485755,39499949.28672342,-10642292.695731942,-748396.8284230544,-3922935.6156262634,-252262.0071827781,-8819591.474707965,-4700441.437484469,-2431009.7344405106,-1670195.2649016029,-20839965.176758993
min,2008,-9908337.410844984,-367298.8565521656,-2013680.717694362,21428026.424203463,-5847823.601939,1449468.846382227,48690970.74597837,91579273.21899194,-1155446.1122273654,84795420.28774533,125815483.32812132,-3108398.782302387,-623507.6676907775,-2621543.7201830107,562076.7005816177,-7405950.965348721,7989545.015770122,163969.8578909668,-1011646.8879081225,-21232053.907166533
min,2009,28780416.679256186,602435.0927299324,8473175.519067794,8410965.967324566,-2456707.5555469617,10442232.182304785,354884010.7007048,321538946.1238963,24139314.360064417,285268391.73578674,473156347.71370494,171873614.06648248,4498045.499397053,34636897.75940107,2476143.4266976304,-1166744.3596366607,20015860.838380426,14964031.923169892,15828407.096874569,-10133469.040538486
min,2010,30716515.138193797,1110250.1869955906,4183186.37477085,1658719.8676556014,18858279.81123651,4769252.427653452,311848567.0737914,260285398.00413263,4747688.82861381,200195955.12205943,350289660.5266127,31014403.20886421,4049849.8147792025,10988539.855781082,-506527.64989560726,-2664951.3089866303,16714562.724410515,10331283.969014332,12526586.397150692,53626650.45999424
min,2011,41452507.536513284,1291248.0590827728,24414906.546698004,31755522.83062809,22591871.585944314,6726377.602039579,485061894.4851882,493165164.669411,20575998.704871252,348452342.2795489,746767281.9999784,89202858.10977212,5919604.574738219,12456390.417497855,17449691.71996996,20680948.832011007,45707520.439631134,19183262.58333628,16306884.53868735,63410968.0555715
min,2012,39972749.85403888,368842.1441024393,24428285.7225115,18104208.622410215,25092075.70116709,4112181.9118605386,406037358.9963558,438918091.3263056,14969861.871031512,146073211.37771577,524951932.1153282,49826731.59097644,3268118.1856331835,28656912.007986076,10203473.983756896,11354003.727057151,36046273.60944517,27885553.87481037,12809071.981330117,15522499.785237215
min,2013,55932037.573963866,811150.6792382058,20522517.26825495,26646669.975160487,5040087.50047645,10244544.305653686,588611949.4891927,480168278.21867454,27346697.105854005,213339160.32462984,636008764.7483807,68838334.93667799,5367156.378616464,29263491.668933585,7596030.02346536,6252990.0977969095,20173072.972987637,22073470.555378027,14149804.73975173,22000404.22651486
min,2014,31215541.59603081,5209463.4739500545,19734210.67305952,33199860.917648926,-3412565.8700507823,1693650.330751217,586594430.5381997,402252268.56679344,-733083.1348694712,246341622.02262777,651234764.2076099,28806312.891174614,4019350.9607608477,26740918.442792982,10607953.900605548,10755732.815754712,6565109.96486336,9632920.15552798,8121720.274627903,-6783610.092073113
min,2015,65759706.1758918,435830.2594814617,31930969.772039883,7521448.2011250965,-7846009.048926976,14655234.017562028,1414967578.1128845,568734616.6583755,24726534.393438116,540049360.796819,976715474.1696534,78280574.3829853,4175672.1440212363,20440402.43728695,7198125.188425193,7935978.631266117,-7229371.689654574,6547731.219419979,9109850.845595501,21140278.463452905
min,2016,-110661752.69256322,-10204583.984275565,-35259395.99255586,-31679174.409832284,-46812433.51233195,-8234799.569732847,-398980373.3084943,-666598295.436028,-162603596.98466086,-147992263.9531511,-70972374.18561652,-128302027.72370856,-5673042.745986046,-43497728.834051654,-15480043.663171584,-80086146.59300016,-147871793.021826,-30570814.096534126,-19703882.836578686,-202812034.9606505
max,2007,1151324.3128013797,517489.6055543951,635462.4538128227,0.0,91609.70189071368,572416.7838538684,58812071.395910084,51700308.186041,7874504.036357122,41119806.30292877,55585165.590890214,3398791.4153011893,50896.24229937428,355171.25759029103,1302412.4251234236,447580.5733570819,12310356.247155737,830715.050324265,387453.31400672445,1770278.6304775816
max,2008,3901198.997547531,766543.8083673416,1714973.7054798107,26480003.82690019,317526.0922815722,2712866.0204477524,110315255.82640374,175568429.1247749,17358917.216222998,110435514.78045979,143687945.88830665,12492805.785512201,264595.7442230322,2131908.3611687166,2289492.7364773974,2890906.865834663,26890431.332037017,3788108.5076296064,1274629.3108789078,3890439.2119852183
max,2009,44316145.138697766,1878008.090764378,12667911.745138738,14094440.545358386,4479310.850451183,11863554.0031285,424211331.41618335,416026746.51790214,44967973.104571074,314113498.0400905,493262868.09391344,189424969.2052739,5497161.837800089,39984531.35092176,4419486.467080383,10417220.700444646,41279357.94418068,19041187.90412586,18400467.820509978,18129335.718507234
max,2010,48471633.3775556,2568047.899034957,8977170.633137643,8154119.385408538,26785157.989520103,6393620.222880556,391079790.74862397,368271455.5972822,28551870.250907134,233161790.8984066,373268540.9611367,51073094.79605439,5191697.058668386,17100121.103233304,1714435.824827538,10573865.902534863,41015702.27389652,14990890.804392584,15466084.36701973,85926998.75604649
max,2011,62166812.14910206,2992012.0564620337,30007888.181459263,39333488.93467318,31839896.127275173,8621473.363137867,577498322.1058263,619148898.5280855,48347543.697546795,386912484.01862055,773575975.8402565,112604664.961494,7251759.692608934,19586568.539525446,20040815.77381363,36126235.57878608,74058849.91403148,24619470.55794424,19736298.836867895,101094707.73429912
max,2012,64829915.38914541,2409758.9409575523,31139863.68422501,27197767.94726433,36189705.15076412,6386296.825178484,516961072.14112145,590098571.956715,48295715.86224216,192225381.46460178,557122364.7236618,77908899.8130427,4866704.327078041,37213125.754419185,13312822.8483693,29888347.823187243,70067868.97872558,34409003.44433992,16924369.13914677,60742987.399710365
max,2013,87003494.49284703,3362296.675307097,28911989.72039684,38013619.13122813,18912124.31247274,13087187.947301118,727266590.9201498,669143879.0066862,69004014.59486732,271029372.9332374,676221805.5087976,103941045.21426082,7365389.055422536,39958758.85197497,11482716.104230864,29420920.217959523,62700067.18458815,30227782.517289966,19293926.18702255,78526013.7446063
max,2014,72644150.82120836,8610991.468708577,30920173.942582037,48355793.12573911,15083483.212610936,5483841.852947793,771467285.7794758,654219736.2841424,54810006.850481614,323261905.50077116,704852151.8881658,75609926.59461838,6683661.196502277,41001274.68684816,15790202.008292887,41646306.30930486,63267768.91366404,20505336.104743898,14980548.870988993,68583869.26538214
max,2015,127902620.01365812,5538122.251619244,48709914.67632366,30255346.513260376,19898064.5750656,20340521.300856892,1692276860.9747987,946685818.2343988,108041169.37146474,655429786.014034,1057141555.6904874,148485994.93815094,8172137.49763338,41830936.80336972,14971497.349956201,54271838.871591344,77824616.73354645,22856355.143243857,19398093.740137137,134191497.49963579
