MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Planned EU amount,N+3 De-commitment Amount,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of additional initial pre-financing,Net additional initial pre-financing,Total net initial pre-financing,Cumulative annual pre-financing,Annual pre-financing covered by expenditure,Recovery of annual pre-financing,Net annual pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
IT,Italy,2014IT05M9OP001,Youth Employment - IT - ESF/YEI,ESF,Less developed,2019,"290,682,055.00",0.00,"290,682,055.00",0.00,0.00,0.00,0.00,0.00,"7,514,131.14","-30,019.45","-134,918.14","7,679,068.73","13,458,985.12",0.00,"13,428,965.67","21,108,034.40",7.26,7.26
IT,Italy,2014IT05M9OP001,Youth Employment - IT - ESF/YEI,ESF,Less developed,2018,"290,682,055.00",0.00,"290,682,055.00",0.00,0.00,0.00,0.00,0.00,"7,514,131.14","-30,019.45","-134,918.14","7,679,068.73","13,458,985.12",0.00,"13,428,965.67","21,108,034.40",7.26,7.26
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,Less developed,2019,"604,693.00",0.00,"604,693.00","18,140.79",0.00,0.00,0.00,"18,140.79","-15,876.82","-19,113.18","-59,467.32","62,703.68","-137,079.30","-77,005.80","-79,186.68","1,657.79",0.27,0.27
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,Less developed,2018,"604,693.00",0.00,"604,693.00","18,140.79",0.00,0.00,0.00,"18,140.79","-15,876.82","-19,113.16","-59,467.32","62,703.66","-137,079.30","-77,005.80","-79,186.66","1,657.79",0.27,0.27
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,Less developed,2017,"604,693.00",0.00,"604,693.00","18,140.79",0.00,0.00,0.00,"18,140.79","-32,505.88","-19,113.16","-14,867.58","1,474.86","-137,079.31",0.00,"-156,192.47","-136,576.82",-22.59,-22.59
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,More developed,2018,"662,117.00",0.00,"662,117.00","19,863.51",0.00,0.00,0.00,"19,863.51","13,705.75","-11,101.78","-20,162.89","44,970.42","-79,621.79","-44,728.40","-45,995.17","18,838.76",2.85,2.85
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,More developed,2017,"662,117.00",0.00,"662,117.00","19,863.51",0.00,0.00,0.00,"19,863.51","-4,502.47","-11,101.78","-2,418.08","9,017.39","-79,621.79",0.00,"-90,723.57","-61,842.67",-9.34,-9.34
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,ESF,More developed,2019,"662,117.00",0.00,"662,117.00","19,863.51",0.00,0.00,0.00,"19,863.51","13,705.75","-11,101.76","-20,162.89","44,970.40","-79,621.79","-44,728.40","-45,995.15","18,838.76",2.85,2.85
IT,Italy,2014IT16M2OP005,Research and Innovation - IT - ERDF/ESF,ESF,Transition,2019,"16,744,320.00",0.00,"16,744,320.00","472,189.83",0.00,0.00,0.00,"472,189.83","1,160,800.00",0.00,"1,160,800.00",0.00,"3,001,864.24",0.00,"3,001,864.24","3,474,054.07",20.75,20.75
IT,Italy,2014IT16M2OP003,Legality - IT - ERDF/ESF,ERDF,Transition,2019,"13,000,000.00",0.00,"13,000,000.00",0.00,0.00,0.00,0.00,0.00,"336,050.03",0.00,"336,050.03",0.00,0.00,0.00,0.00,0.00,0.00,0.00
IT,Italy,2014IT16M2OP003,Legality - IT - ERDF/ESF,ERDF,More developed,2019,"8,000,000.00",0.00,"8,000,000.00",0.00,0.00,0.00,0.00,0.00,"206,799.97",0.00,"206,799.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00
RO,Romania,2014RO05M9OP001,Human Capital - RO - ESF/YEI,YEI Specific Allocation,,2019,"151,118,598.00",0.00,"151,118,598.00","4,239,772.60","30,208,379.78","30,208,379.78",0.00,"4,239,772.60","9,057,998.52",0.00,"4,902,237.07","4,155,761.45","428,137.80",0.00,"428,137.80","8,823,671.85",5.84,5.84
FI,Finland,2014FI05FMOP001,FEAD - Finland,FEAD,,2019,"22,540,916.00",0.00,"22,540,916.00","2,479,500.76",0.00,0.00,0.00,"2,479,500.76",0.00,0.00,0.00,0.00,"9,233,098.98",0.00,"9,233,098.98","11,712,599.74",51.96,51.96
RO,Romania,2014RO05M9OP001,Human Capital - RO - ESF/YEI,YEI,,2019,"302,237,196.00",0.00,"302,237,196.00","8,479,545.20","30,208,379.78","30,208,379.78",0.00,"8,479,545.20","18,115,997.04",0.00,"9,804,474.14","8,311,522.90","856,275.60",0.00,"856,275.60","17,647,343.70",5.84,5.84
HU,Hungary,2014HU16M1OP003,Integrated Transport - HU - ERDF/CF,CF,,2019,"2,700,708,949.00",0.00,"2,700,708,949.00","76,159,992.36",0.00,0.00,0.00,"76,159,992.36","187,226,647.89",0.00,"187,226,647.89",0.00,"1,019,117,321.51","670,235,283.92","348,882,037.59","425,042,029.95",15.74,15.74
RO,Romania,2014RO05M9OP001,Human Capital - RO - ESF/YEI,YEI ESF Matching Component,,2019,"151,118,598.00",0.00,"151,118,598.00","4,239,772.60",0.00,0.00,0.00,"4,239,772.60","9,057,998.52",0.00,"4,902,237.07","4,155,761.45","428,137.80",0.00,"428,137.80","8,823,671.85",5.84,5.84
HU,Hungary,2014HU16M1OP003,Integrated Transport - HU - ERDF/CF,ERDF,Less developed,2019,"631,099,276.00",0.00,"631,099,276.00","17,796,999.60",0.00,0.00,0.00,"17,796,999.60","43,750,957.35",0.00,"43,750,957.35",0.00,"204,124,935.77","140,363,016.38","63,761,919.39","81,558,918.99",12.92,12.92
HU,Hungary,2014HU16M2OP001,Territorial and settlement Development  - ERDF/ESF,ERDF,Less developed,2019,"3,006,517,875.00",0.00,"3,006,517,875.00","83,981,242.65",0.00,0.00,0.00,"83,981,242.65","206,453,888.18",0.00,"206,453,888.18",0.00,"505,562,853.93","33,443,359.58","472,119,494.35","556,100,737.00",18.50,18.50
LT,Lithuania,2014LT05FMOP001,FEAD - Lithuania,FEAD,,2019,"77,202,641.00",0.00,"77,202,641.00","8,492,290.51",0.00,0.00,0.00,"8,492,290.51",0.00,0.00,0.00,0.00,"28,166,099.23",0.00,"28,166,099.23","36,658,389.74",47.48,47.48
TC,Interreg,2014TC16I5CB009,IPA CBC Greece – The  former Yugoslav Republic of Macedonia,IPAE-contribution from ERDF,,2015,"19,324,776.00",0.00,"19,324,776.00","1,399,574.00",0.00,0.00,0.00,"1,399,574.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,399,574.00",7.24,7.24
TC,Interreg,2014TC16I5CB009,IPA CBC Greece – The  former Yugoslav Republic of Macedonia,IPAE,,2016,"19,324,776.00",0.00,"19,324,776.00","3,398,255.00",0.00,0.00,0.00,"3,398,255.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,398,255.00",17.58,17.58
TC,Interreg,2014TC16I5CB009,IPA CBC Greece – The  former Yugoslav Republic of Macedonia,IPAE,,2015,"19,324,776.00",0.00,"19,324,776.00","1,399,574.00",0.00,0.00,0.00,"1,399,574.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,399,574.00",7.24,7.24
TC,Interreg,2014TC16M5TN001,Interreg V-B - Baltic Sea,ENI,,2019,"8,800,000.00",0.00,"8,800,000.00","176,000.00",0.00,0.00,0.00,"176,000.00","902,000.00",0.00,"649,000.00","253,000.00",0.00,0.00,0.00,"429,000.00",4.88,4.88
