Country,NUTS1_ID,NUTS2_ID,NUTS2_name,Fund,Year,Programming_Period,EU_Payment_annual,Modelled_annual_expenditure,Standard_Deviation_of_annual_expenditure,Standard_Error_of_modelled_annual_expenditure
AT,AT1,AT11,Burgenland,EAFRD,1994,1994-1999,0,715213,93168,2948
AT,AT1,AT11,Burgenland,EAFRD,1995,1994-1999,2230000,3154560,120438,3810
AT,AT1,AT11,Burgenland,EAFRD,1996,1994-1999,5112734,5089406,3039,96
AT,AT1,AT11,Burgenland,EAFRD,1997,1994-1999,5040000,3424693,210419,6657
AT,AT1,AT11,Burgenland,EAFRD,1998,1994-1999,3550,4067059,529335,16747
AT,AT1,AT11,Burgenland,EAFRD,1999,1994-1999,12673379,8659001,524443,16593
AT,AT1,AT11,Burgenland,EAFRD,2000,1994-1999,51097,178251,92599,2930
AT,AT1,AT11,Burgenland,EAFRD,2001,1994-1999,45700,501072,135795,4296
AT,AT1,AT11,Burgenland,EAFRD,2002,1994-1999,0,1340230,82431,2608
AT,AT1,AT11,Burgenland,EAFRD,2003,1994-1999,166084,0,0,0
AT,AT1,AT11,Burgenland,EAFRD,2004,1994-1999,1806940,0,0,0
AT,AT1,AT11,Burgenland,EAFRD,2000,2000-2006,2894182,3319612,101697,3218
AT,AT1,AT11,Burgenland,EAFRD,2001,2000-2006,2074650,3172510,262439,8303
AT,AT1,AT11,Burgenland,EAFRD,2002,2000-2006,7428473,7283873,34566,1094
AT,AT1,AT11,Burgenland,EAFRD,2003,2000-2006,6723318,6280405,105877,3350
AT,AT1,AT11,Burgenland,EAFRD,2004,2000-2006,4563405,5519494,228549,7231
AT,AT1,AT11,Burgenland,EAFRD,2005,2000-2006,9225865,8466410,181545,5744
AT,AT1,AT11,Burgenland,EAFRD,2006,2000-2006,5522307,5563845,181545,5744
AT,AT1,AT11,Burgenland,EAFRD,2007,2000-2006,5724870,4828466,231414,7322
AT,AT1,AT11,Burgenland,EAFRD,2008,2000-2006,976073,1165696,93393,2955
AT,AT1,AT11,Burgenland,EAFRD,2009,2000-2006,0,1811016,111674,3533
AT,AT1,AT11,Burgenland,EAFRD,2010,2000-2006,2278183,0,0,0
AT,AT1,AT11,Burgenland,EAFRD,2007,2007-2013,33163206,41276525,1736454,54939
AT,AT1,AT11,Burgenland,EAFRD,2008,2007-2013,36731643,39004661,486483,15392
AT,AT1,AT11,Burgenland,EAFRD,2009,2007-2013,47022337,46840263,38968,1233
AT,AT1,AT11,Burgenland,EAFRD,2010,2007-2013,46198027,45362768,178766,5656
AT,AT1,AT11,Burgenland,EAFRD,2011,2007-2013,42416538,43636592,261122,8262
AT,AT1,AT11,Burgenland,EAFRD,2012,2007-2013,47940124,47740570,261122,8262
AT,AT1,AT11,Burgenland,EAFRD,2013,2007-2013,47036679,41157206,1258355,39813
AT,AT1,AT11,Burgenland,EAFRD,2014,2007-2013,20418383,17288483,669877,21194
AT,AT1,AT11,Burgenland,EAFRD,2015,2007-2013,6248301,4868170,295383,9345
AT,AT1,AT11,Burgenland,ERDF,1994,1994-1999,0,3963435,398832,12618
AT,AT1,AT11,Burgenland,ERDF,1995,1994-1999,9980000,8582066,140671,4451
AT,AT1,AT11,Burgenland,ERDF,1996,1994-1999,6459976,11474680,504619,15965
AT,AT1,AT11,Burgenland,ERDF,1997,1994-1999,19087090,21207007,213323,6749
AT,AT1,AT11,Burgenland,ERDF,1998,1994-1999,24425078,24905600,1494835,47294
AT,AT1,AT11,Burgenland,ERDF,1999,1994-1999,23509169,23065888,1175089,37178
AT,AT1,AT11,Burgenland,ERDF,2000,1994-1999,23198372,15980328,800201,25317
AT,AT1,AT11,Burgenland,ERDF,2001,1994-1999,5077077,4205370,315158,9971
AT,AT1,AT11,Burgenland,ERDF,2002,1994-1999,48719,2501100,165795,5246
AT,AT1,AT11,Burgenland,ERDF,2003,1994-1999,4099033,0,0,0
AT,AT1,AT11,Burgenland,ERDF,2004,1994-1999,957,0,0,0
AT,AT1,AT11,Burgenland,ERDF,2000,2000-2006,12167094,14346661,428202,13548
AT,AT1,AT11,Burgenland,ERDF,2001,2000-2006,9133610,13068991,773152,24461
AT,AT1,AT11,Burgenland,ERDF,2002,2000-2006,25625062,25833418,40934,1295
AT,AT1,AT11,Burgenland,ERDF,2003,2000-2006,26498190,26638887,27642,875
AT,AT1,AT11,Burgenland,ERDF,2004,2000-2006,27087788,24869669,435776,13787
AT,AT1,AT11,Burgenland,ERDF,2005,2000-2006,17792624,17004351,154866,4900
AT,AT1,AT11,Burgenland,ERDF,2006,2000-2006,14489317,16002319,154866,4900
AT,AT1,AT11,Burgenland,ERDF,2007,2000-2006,20829646,21433689,386319,12223
AT,AT1,AT11,Burgenland,ERDF,2008,2000-2006,21860454,18451610,763501,24156
AT,AT1,AT11,Burgenland,ERDF,2009,2000-2006,0,6910145,425499,13462
AT,AT1,AT11,Burgenland,ERDF,2011,2000-2006,9075954,0,0,0
AT,AT1,AT11,Burgenland,ERDF,2007,2007-2013,2500539,3880852,155780,4929
AT,AT1,AT11,Burgenland,ERDF,2008,2007-2013,3750809,6215157,278123,8799
AT,AT1,AT11,Burgenland,ERDF,2009,2007-2013,10447335,11016085,64188,2031
AT,AT1,AT11,Burgenland,ERDF,2010,2007-2013,11992836,14147741,243200,7695
AT,AT1,AT11,Burgenland,ERDF,2011,2007-2013,17848494,14008769,433346,13710
AT,AT1,AT11,Burgenland,ERDF,2012,2007-2013,7414570,12868731,433346,13710
AT,AT1,AT11,Burgenland,ERDF,2013,2007-2013,19030438,24267210,1728845,54698
AT,AT1,AT11,Burgenland,ERDF,2014,2007-2013,34234868,25067896,1325238,41929
AT,AT1,AT11,Burgenland,ERDF,2015,2007-2013,11555726,7303174,479938,15185
AT,AT1,AT11,Burgenland,ESF,2000,2000-2006,3850934,5499298,402440,12733
AT,AT1,AT11,Burgenland,ESF,2001,2000-2006,8239325,7854074,94057,2976
AT,AT1,AT11,Burgenland,ESF,2002,2000-2006,6313654,6002089,76067,2407
AT,AT1,AT11,Burgenland,ESF,2003,2000-2006,4756301,5921497,284477,9000
AT,AT1,AT11,Burgenland,ESF,2004,2000-2006,10580520,10284769,72206,2284
AT,AT1,AT11,Burgenland,ESF,2005,2000-2006,9102215,8830144,66425,2102
AT,AT1,AT11,Burgenland,ESF,2006,2000-2006,7742272,7100283,66425,2102
AT,AT1,AT11,Burgenland,ESF,2007,2000-2006,4533298,4993496,143671,4546
AT,AT1,AT11,Burgenland,ESF,2008,2000-2006,6408960,5572241,222586,7042
AT,AT1,AT11,Burgenland,ESF,2009,2000-2006,0,2120848,129498,4097
AT,AT1,AT11,Burgenland,ESF,2013,2000-2006,2651261,0,0,0
AT,AT1,AT11,Burgenland,ESF,2007,2007-2013,1042800,1397576,74404,2354
AT,AT1,AT11,Burgenland,ESF,2008,2007-2013,1564200,3683226,444406,14060
AT,AT1,AT11,Burgenland,ESF,2009,2007-2013,10906935,10113273,166448,5266
AT,AT1,AT11,Burgenland,ESF,2010,2007-2013,7407700,7363060,9362,296
AT,AT1,AT11,Burgenland,ESF,2011,2007-2013,7210883,7361553,31599,1000
AT,AT1,AT11,Burgenland,ESF,2012,2007-2013,7875184,8002161,31599,1000
AT,AT1,AT11,Burgenland,ESF,2013,2007-2013,8435024,7676401,159100,5034
AT,AT1,AT11,Burgenland,ESF,2014,2007-2013,5090274,3935749,242129,7661
AT,AT1,AT12,Niederösterreich,EAFRD,1994,1994-1999,0,1499729,172840,5468
AT,AT1,AT12,Niederösterreich,EAFRD,1995,1994-1999,4235000,3801299,49983,1581
AT,AT1,AT12,Niederösterreich,EAFRD,1996,1994-1999,3010298,4414661,161849,5121
AT,AT1,AT12,Niederösterreich,EAFRD,1997,1994-1999,6976000,7903409,106882,3382
AT,AT1,AT12,Niederösterreich,EAFRD,1998,1994-1999,9594858,8844245,86506,2737
AT,AT1,AT12,Niederösterreich,EAFRD,1999,1994-1999,7475245,9650827,254486,8052
AT,AT1,AT12,Niederösterreich,EAFRD,2000,1994-1999,13517796,8880276,543294,17189
AT,AT1,AT12,Niederösterreich,EAFRD,2001,1994-1999,20705,529726,141774,4486
AT,AT1,AT12,Niederösterreich,EAFRD,2002,1994-1999,0,1266242,80013,2532
AT,AT1,AT12,Niederösterreich,EAFRD,2003,1994-1999,1960513,0,0,0
AT,AT1,AT12,Niederösterreich,EAFRD,2000,2000-2006,0,662290,60307,1908
AT,AT1,AT12,Niederösterreich,EAFRD,2001,2000-2006,1424243,964792,41837,1324
AT,AT1,AT12,Niederösterreich,EAFRD,2002,2000-2006,436201,799680,33098,1047
